id,state,user,employee_open,user_closed,employee_merged,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
3163,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3169,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3175,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3184,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3186,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3215,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3236,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3250,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
327,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3275,closed,as-cii,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
330,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3309,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3328,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3343,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3356,closed,zcbenz,employee,zcbenz,employee,0,2,5,28,33,NA,"(1,30]","(1,30]","(30,180]"
3372,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3384,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3400,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3415,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3421,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3422,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3424,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3425,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3428,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3462,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3469,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3487,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3506,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3507,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
351,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3510,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3514,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
354,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3588,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3594,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3608,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
363,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3634,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3641,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3643,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3645,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3660,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3676,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3680,closed,kevinsawicki,employee,jlord,volunter,0,0,null,null,null,NA,NA,NA,NA
3683,closed,zeke,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3686,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3714,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3715,closed,kevinsawicki,employee,zcbenz,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
3721,closed,kevinsawicki,employee,zcbenz,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
3724,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3727,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
375,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3750,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3752,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
