id,state,user_opened,employee_open,user_closed,employee_closed,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
111,closed,mcolyer,employee,mcolyer,employee,0,6,10,0,10,NA,"(1,30]",NA,"(1,30]"
109,closed,kevinsawicki,employee,zcbenz,employee,0,3,419,0,419,NA,"(365,Inf]",NA,"(365,Inf]"
108,closed,mcolyer,employee,zcbenz,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
107,closed,mcolyer,employee,zcbenz,employee,11,5,11,0,0,"(1,30]","(1,30]",NA,NA
106,closed,mcolyer,employee,zcbenz,employee,0,3,0,0,0,NA,NA,NA,NA
102,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
99,closed,mcolyer,employee,zcbenz,employee,0,1,0,0,0,NA,NA,NA,NA
98,closed,mcolyer,employee,zcbenz,employee,0,1,0,0,0,NA,NA,NA,NA
97,closed,mcolyer,employee,zcbenz,employee,0,1,0,0,0,NA,NA,NA,NA
96,closed,mcolyer,employee,zcbenz,employee,0,1,0,0,0,NA,NA,NA,NA
95,closed,mcolyer,employee,zcbenz,employee,0,1,0,0,0,NA,NA,NA,NA
94,closed,mcolyer,employee,zcbenz,employee,0,4,0,0,0,NA,NA,NA,NA
86,closed,mcolyer,employee,zcbenz,employee,111,5,111,0,0,"(30,180]","(30,180]",NA,NA
83,closed,kevinsawicki,employee,zcbenz,employee,1,2,1,0,0,"(0,1]","(0,1]",NA,NA
