id,state,user,employee_open,user_closed,employee_merged,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
15264,closed,captbaritone,volunter,maxbrunsfeld,employee,0,0,null,null,null,NA,NA,NA,NA
15271,closed,Dhruvadityamittal,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15276,closed,captbaritone,volunter,nathansobo,employee,4,0,null,null,null,"(1,30]",NA,NA,NA
15277,closed,captbaritone,volunter,nathansobo,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
15327,closed,captbaritone,volunter,nathansobo,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
15329,closed,ungb,volunter,nathansobo,employee,3,0,null,null,null,"(1,30]",NA,NA,NA
15352,closed,samtoubia,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15353,closed,samtoubia,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15365,closed,Boshusya,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15380,closed,marceloatie,volunter,ungb,volunter,11,0,null,null,null,"(1,30]",NA,NA,NA
15383,closed,wbinnssmith,volunter,nathansobo,employee,10,10,5,0,4,"(1,30]","(1,30]",NA,"(1,30]"
15392,closed,wbinnssmith,volunter,nathansobo,employee,0,0,null,null,null,NA,NA,NA,NA
15393,open,wbinnssmith,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
15394,closed,wbinnssmith,volunter,nathansobo,employee,0,0,null,null,null,NA,NA,NA,NA
15403,closed,IngTatianaLopez,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15415,closed,Xapphire13,volunter,BinaryMuse,employee,84,5,48,15,20,"(30,180]","(30,180]","(1,30]","(1,30]"
15431,open,malept,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
15433,closed,Ben3eeE,volunter,jasonrudolph,employee,0,0,null,null,null,NA,NA,NA,NA
15435,closed,fjsm20,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15438,closed,Ben3eeE,volunter,jasonrudolph,employee,4,0,null,null,null,"(1,30]",NA,NA,NA
15444,closed,siddharthghugharwal,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15474,closed,50Wliu,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
15475,closed,50Wliu,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
15496,open,314eter,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
15498,closed,MoritzKn,volunter,daviwil,employee,133,0,null,null,null,"(30,180]",NA,NA,NA
15510,closed,HebaruSan,volunter,null,volunter,26,0,null,null,null,"(1,30]",NA,NA,NA
15514,closed,richardsimko,volunter,null,volunter,127,0,null,null,null,"(30,180]",NA,NA,NA
15522,closed,damieng,volunter,damieng,volunter,0,0,null,null,null,NA,NA,NA,NA
15551,closed,50Wliu,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
15554,closed,damieng,volunter,damieng,volunter,3,3,0,2,1,"(1,30]",NA,"(1,30]","(0,1]"
15556,closed,leroix,volunter,null,volunter,0,1,0,0,0,NA,NA,NA,NA
15562,closed,satyamramawat,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15564,closed,xtaraim,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15566,closed,50Wliu,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
15575,closed,Ingramz,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15577,closed,Ingramz,volunter,as-cii,employee,0,0,null,null,null,NA,NA,NA,NA
15598,closed,50Wliu,volunter,null,volunter,1,0,null,null,null,"(0,1]",NA,NA,NA
15603,closed,jsoref,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
15617,closed,andrew-aladev,volunter,null,volunter,44,0,null,null,null,"(30,180]",NA,NA,NA
15618,closed,t9md,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
15637,closed,keangkai,volunter,null,volunter,1,0,null,null,null,"(0,1]",NA,NA,NA
15649,closed,Ben3eeE,volunter,Ben3eeE,volunter,0,0,null,null,null,NA,NA,NA,NA
15653,closed,keangkai,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15669,closed,BenRussert,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
15683,closed,dreiss,volunter,BinaryMuse,employee,0,0,null,null,null,NA,NA,NA,NA
15692,closed,UziTech,volunter,maxbrunsfeld,employee,8,0,null,null,null,"(1,30]",NA,NA,NA
15704,closed,mohanuppaluri,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15712,closed,50Wliu,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
15721,closed,Yulgana33,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15725,closed,hazzalove,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15729,closed,50Wliu,volunter,50Wliu,volunter,8,0,null,null,null,"(1,30]",NA,NA,NA
15760,closed,thomasjo,volunter,thomasjo,volunter,2,0,null,null,null,"(1,30]",NA,NA,NA
15768,closed,Ben3eeE,volunter,ungb,volunter,0,0,null,null,null,NA,NA,NA,NA
15775,closed,Ben3eeE,volunter,lee-dohm,employee,5,8,0,4,1,"(1,30]",NA,"(1,30]","(0,1]"
15777,closed,matthewwithanm,volunter,maxbrunsfeld,employee,0,0,null,null,null,NA,NA,NA,NA
15782,closed,AryanJ-NYC,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15784,closed,pramod-b-s,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15785,closed,arnavb,volunter,maxbrunsfeld,employee,0,0,null,null,null,NA,NA,NA,NA
15788,closed,AryanJ-NYC,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15794,closed,the-j0k3r,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15796,closed,NuttasitBoonwat,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15810,closed,NuttasitBoonwat,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15812,closed,NuttasitBoonwat,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15831,closed,Ben3eeE,volunter,nathansobo,employee,132,4,0,14,118,"(30,180]",NA,"(1,30]","(30,180]"
15864,closed,Azmuuuu,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15871,open,sean-codes,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
15882,closed,leroix,volunter,leroix,volunter,0,0,null,null,null,NA,NA,NA,NA
15887,open,ashcrow,volunter,null,volunter,null,1,0,193,null,NA,NA,"(180,365]",NA
15894,closed,leroix,volunter,leroix,volunter,1,0,null,null,null,"(0,1]",NA,NA,NA
15904,closed,laurmurclar,volunter,Ben3eeE,volunter,0,1,0,0,0,NA,NA,NA,NA
15906,closed,Ben3eeE,volunter,lee-dohm,employee,0,0,null,null,null,NA,NA,NA,NA
15917,closed,KPsychO,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15918,closed,FalkF,volunter,BinaryMuse,employee,0,0,null,null,null,NA,NA,NA,NA
15939,closed,Fank,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
15945,closed,50Wliu,volunter,as-cii,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
15948,closed,Fank,volunter,50Wliu,volunter,10,0,null,null,null,"(1,30]",NA,NA,NA
15954,closed,leroix,volunter,leroix,volunter,3,7,2,0,0,"(1,30]","(1,30]",NA,NA
15959,open,kbrose,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
15960,closed,ChristianFaris2000,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15968,closed,Ingramz,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
15969,closed,RAHUL9545416,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15970,open,Ingramz,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
15975,open,richiksc,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
15989,closed,50Wliu,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
15996,closed,damieng,volunter,null,volunter,48,1,0,14,34,"(30,180]",NA,"(1,30]","(30,180]"
15999,closed,50Wliu,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
