id, state, user, employee_open, user_closed, employee_merged, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
5740,closed,aldeka,volunter,null,volunter,23,9,0,0,23
5742,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5744,closed,aaronang,volunter,kevinsawicki,employee,0,0,null,null,null
5753,closed,deepak1556,volunter,zcbenz,employee,1,0,null,null,null
5757,closed,danhp,volunter,null,volunter,0,0,null,null,null
576,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5763,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5766,closed,kcrt,volunter,zcbenz,employee,0,0,null,null,null
5768,closed,zcbenz,employee,zcbenz,employee,0,1,0,1,1
5769,closed,zcbenz,employee,zcbenz,employee,0,2,0,0,0
577,closed,cornedor,volunter,zcbenz,employee,1,0,null,null,null
5770,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5774,closed,adill,volunter,null,volunter,0,0,null,null,null
5776,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
578,closed,cornedor,volunter,zcbenz,employee,3,2,0,1,1
5781,closed,deepak1556,volunter,zcbenz,employee,0,2,0,0,0
5782,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
58,closed,paulcbetts,volunter,zcbenz,employee,0,0,null,null,null
5812,closed,vasumahesh1,volunter,zcbenz,employee,0,0,null,null,null
5815,closed,felixrieseberg,volunter,null,volunter,0,0,null,null,null
5817,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5819,closed,gjtorikian,employee,kevinsawicki,employee,0,0,null,null,null
5820,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5823,closed,ColinEberhardt,volunter,zcbenz,employee,0,0,null,null,null
5824,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5826,closed,Pym,volunter,zcbenz,employee,1,0,null,null,null
5829,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null
5832,closed,wolfgang42,volunter,null,volunter,0,2,0,0,0
5833,closed,CharlieHess,volunter,zcbenz,employee,1,0,null,null,null
5837,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5839,closed,sqrthree,volunter,zcbenz,employee,0,0,null,null,null
5840,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null
5841,closed,envygeeks,volunter,paulcbetts,volunter,0,2,0,0,0
5849,closed,preco21,volunter,zcbenz,employee,0,0,null,null,null
585,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5859,closed,felixrieseberg,volunter,zcbenz,employee,2,2,0,0,1
5870,closed,danhp,volunter,zcbenz,employee,1,2,1,0,0
5873,closed,sourenaraya,volunter,zcbenz,employee,0,0,null,null,null
5879,closed,miniak,volunter,zcbenz,employee,7,1,0,0,6
5880,closed,miniak,volunter,null,volunter,0,0,null,null,null
5882,closed,felixrieseberg,volunter,zcbenz,employee,0,0,null,null,null
5883,closed,sethlu,volunter,zcbenz,employee,0,0,null,null,null
5886,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5888,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5889,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5890,closed,jpittner,volunter,zcbenz,employee,0,0,null,null,null
