id, state, user_opened, employee_open, user_closed, employee_closed, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
1261,closed,imayobrown,volunter,imayobrown,volunter,6,2,1,5,0
1260,closed,AzCii,volunter,mose,volunter,324,17,317,32,25
1259,closed,miklb,volunter,mose,volunter,183,3,183,0,0
1257,closed,latazzajones,volunter,latazzajones,volunter,0,2,1,0,1
1254,closed,arindamdc,volunter,bkeepers,employee,185,2,180,4,0
1253,closed,muskacirca,volunter,mose,volunter,204,4,204,0,0
1252,closed,jonathanrelf,volunter,jonathanrelf,volunter,6,2,0,6,0
1251,closed,thebeline,volunter,bkeepers,employee,192,2,191,0,0
1250,closed,zackrowe,volunter,bkeepers,employee,192,2,192,0,0
1249,closed,jy2008,volunter,technicalpickles,employee,0,1,0,0,0
1248,closed,richardyanhao,volunter,richardyanhao,volunter,2,2,1,0,0
1247,closed,Jasmine2010,volunter,mose,volunter,212,3,207,5,0
1246,closed,kevinkuszyk,volunter,mose,volunter,212,4,209,2,0
1245,closed,p00j4,volunter,bkeepers,employee,200,3,198,2,0
1244,closed,gustavopinto,volunter,bkeepers,employee,201,5,238,7,44
1243,closed,kevinkuszyk,volunter,technicalpickles,employee,7,2,0,7,0
1242,closed,traimo,volunter,technicalpickles,employee,24,2,0,24,0
1241,closed,digininja,volunter,mose,volunter,229,2,0,229,0
1238,closed,shimmerjs,volunter,stale[bot],bot,265,1,0,256,8
1237,closed,mtc2013,volunter,technicalpickles,employee,253,1,0,253,0
1236,closed,naokibeats,volunter,stale[bot],bot,354,2,91,255,7
1235,closed,davidawad,volunter,davidawad,volunter,0,1,0,0,0
1234,closed,mchristensen76,volunter,stale[bot],bot,287,1,0,278,8
