user, site_admin, forward_engineering_percent, corrective_engineering_percent, reengineering_percent, uncategorized_percent, management_percent
adnelson,false,0.0,0.0,1.0,0.0,0.0
dav-ell,false,0.0,0.4,0.26666666666666666,0.3333333333333333,0.0
verrazanof,false,0.0,0.0,1.0,0.0,0.0
wernight,false,0.0,0.0,1.0,0.0,0.0
natthu,false,0.0,0.5,0.2,0.0,0.3
dreiss,false,0.0,0.0,1.0,0.0,0.0
portal-chan,false,1.0,0.0,0.0,0.0,0.0
jhasse,false,0.0,0.0,0.0,1.0,0.0
russlescai,false,0.0,0.05555555555555555,0.2222222222222222,0.5277777777777778,0.19444444444444445
DrPandemic,false,1.0,0.0,0.0,0.0,0.0
drewkett,false,0.6,0.3333333333333333,0.06666666666666667,0.0,0.0
Locke23rus,false,0.2,0.06666666666666667,0.6,0.0,0.13333333333333333
captn3m0,false,0.0,0.0,0.0,1.0,0.0
MoritzKn,false,0.08333333333333333,0.0,0.5277777777777778,0.3888888888888889,0.0
MaximSokolov,false,0.1523809523809524,0.0,0.6,0.24761904761904763,0.0
akkatracker,false,0.0,0.0,0.0,0.0,1.0
ggreer,false,0.0,1.0,0.0,0.0,0.0
amayer5125,false,1.0,0.0,0.0,0.0,0.0
1ace,false,0.5,0.0,0.3333333333333333,0.16666666666666666,0.0
zelon,false,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
t9md,false,0.0,0.26666666666666666,0.3333333333333333,0.4,0.0
philipgiuliani,false,0.0,0.0,1.0,0.0,0.0
MScottBlake,false,1.0,0.0,0.0,0.0,0.0
svanharmelen,false,0.13043478260869565,0.32608695652173914,0.1956521739130435,0.34782608695652173,0.0
herkyl,false,0.0,0.0,0.0,0.0,1.0
vovkasm,false,0.1388888888888889,0.4166666666666667,0.2222222222222222,0.0,0.2222222222222222
liuxiong332,false,0.35384615384615387,0.021538461538461538,0.4276923076923077,0.09230769230769231,0.10461538461538461
wpowell-oss,false,1.0,0.0,0.0,0.0,0.0
qJake,false,1.0,0.0,0.0,0.0,0.0
driskell,false,0.0,0.0,1.0,0.0,0.0
jasonrudolph,false,0.10648981250362803,0.13287281592848435,0.2037789516456725,0.32925059499622683,0.22760782492598827
nakajima,false,0.3333333333333333,0.022222222222222223,0.15555555555555556,0.37777777777777777,0.1111111111111111
50Wliu,false,0.021425042577008623,0.046860766407000765,0.061306723310938276,0.7026863643091059,0.16772110339594637
jonjitsu,false,0.0,0.0,0.0,0.0,1.0
damieng,false,0.11316904239201014,0.11059233377652722,0.12439318512105377,0.3349824268472424,0.31686301186316645
a-m-s,false,0.0,0.0,0.0,1.0,0.0
mlloreda,false,0.0,0.0,1.0,0.0,0.0
subesokun,false,0.0,1.0,0.0,0.0,0.0
rameshvarun,false,0.0,0.0,0.0,1.0,0.0
ggreif,false,0.0,0.0,0.0,1.0,0.0
danfuzz,false,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
mkoniecz,false,0.0,0.0,0.0,1.0,0.0
giodamelio,false,0.0,1.0,0.0,0.0,0.0
chuckhendo,false,1.0,0.0,0.0,0.0,0.0
xcvd,false,0.0,0.0,1.0,0.0,0.0
benogle,false,0.1543742057658286,0.11358560909974336,0.17000893902773279,0.27663059390028155,0.2854006522064137
thisiskj,false,0.0,0.0,0.0,0.0,1.0
jordanbtucker,false,0.2,0.4,0.3,0.1,0.0
torn4dom4n,false,0.06666666666666667,0.125,0.5833333333333334,0.008333333333333333,0.21666666666666667
shreyasminocha,false,0.0,0.0,0.0,0.0,1.0
viddo,false,0.0,0.0,0.0,1.0,0.0
jeremy-engel,false,0.0,0.0,1.0,0.0,0.0
ammarnajjar,false,0.0,0.0,1.0,0.0,0.0
mnquintana,false,0.19726901789682058,0.11380438734698825,0.13364036682422334,0.32024401082697046,0.23504221710499737
dyross,false,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
MatthiasWinkelmann,false,0.0,1.0,0.0,0.0,0.0
Tyriar,false,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666
natalieogle,false,0.48717948717948717,0.0,0.47435897435897434,0.0,0.038461538461538464
m0x72,false,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
didrocks,false,1.0,0.0,0.0,0.0,0.0
ycai2,false,0.0,1.0,0.0,0.0,0.0
karlin,false,0.5,0.0,0.16666666666666666,0.3333333333333333,0.0
BenRussert,false,0.0,1.0,0.0,0.0,0.0
radum,false,0.0,0.0,0.0,0.0,1.0
brendannee,false,0.0,0.0,1.0,0.0,0.0
SEAPUNK,false,1.0,0.0,0.0,0.0,0.0
alazaro,false,0.0,1.0,0.0,0.0,0.0
rbottema,false,1.0,0.0,0.0,0.0,0.0
leroix,false,0.0,0.1110204081632653,0.08489795918367347,0.6930612244897959,0.1110204081632653
einarmagnus,false,0.0,1.0,0.0,0.0,0.0
clickthisnick,false,0.0,0.0,1.0,0.0,0.0
ivernus,false,1.0,0.0,0.0,0.0,0.0
U8NWXD,false,0.0,0.06666666666666667,0.6666666666666666,0.06666666666666667,0.2
xfq,false,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0
ernesto28,false,0.21428571428571427,0.10714285714285714,0.35714285714285715,0.25,0.07142857142857142
aureliojargas,false,0.0,0.0,0.5,0.3333333333333333,0.16666666666666666
danielbayley,false,0.0,0.0,1.0,0.0,0.0
drewmnoel,false,0.0,0.3333333333333333,0.0,0.6,0.06666666666666667
wulftone,false,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
vedharish,false,0.0,0.0,1.0,0.0,0.0
DinisCruz,false,1.0,0.0,0.0,0.0,0.0
arnavb,false,0.0,0.0,0.0,1.0,0.0
Kangaroopower,false,0.0,0.0,1.0,0.0,0.0
deiga,false,0.0,0.0,1.0,0.0,0.0
teddybradford,false,0.0,0.0,1.0,0.0,0.0
alanyee,false,0.0,0.0,0.5,0.0,0.5
avdg,false,0.0,0.0,0.0,1.0,0.0
raelyard,false,0.3155080213903743,0.11942959001782531,0.2638146167557932,0.0392156862745098,0.2620320855614973
dirk-thomas,false,0.2857142857142857,0.0,0.047619047619047616,0.47619047619047616,0.19047619047619047
as-cii,false,0.09012703301535605,0.10872928552084608,0.15034549083294083,0.4664814455647486,0.18431674506610848
malept,false,0.0,0.0,1.0,0.0,0.0
pierredup,false,0.0,1.0,0.0,0.0,0.0
defunkt,false,0.0,0.1,0.2,0.7,0.0
MikeInnes,false,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
dpen2000,false,0.0,0.0,1.0,0.0,0.0
oclbdk,false,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
philwyett-hemi,false,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0
mrodalgaard,false,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
vegar,false,0.0,0.0,0.0,0.0,1.0
farnabaz,false,0.3,0.4,0.2,0.1,0.0
kuychaco,false,0.21805942748351126,0.09131705990344734,0.20418848167539266,0.3359624668525192,0.15047256408512952
ssorallen,false,0.15204678362573099,0.0935672514619883,0.21637426900584794,0.21052631578947367,0.32748538011695905
matthewwithanm,false,0.26210670314637485,0.03939808481532148,0.15595075239398085,0.39890560875513,0.1436388508891929
mikezawitkowski,false,0.0,1.0,0.0,0.0,0.0
Ferk,false,0.0,0.0,0.0,0.0,1.0
rmartin,false,0.0,1.0,0.0,0.0,0.0
sparanoid,false,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666
mark-hahn,false,0.0,1.0,0.0,0.0,0.0
pra85,false,0.0,0.0,0.0,0.0,1.0
yakirac,false,0.0,0.0,1.0,0.0,0.0
alfredxing,false,1.0,0.0,0.0,0.0,0.0
jpelgrom,false,0.0,0.0,0.0,1.0,0.0
akonwi,false,0.0,0.0,0.0,0.0,1.0
Arcanemagus,false,0.0,0.3333333333333333,0.4,0.0,0.26666666666666666
DouweM,false,0.5555555555555556,0.0,0.08888888888888889,0.35555555555555557,0.0
vvakame,false,0.0,0.0,1.0,0.0,0.0
edjubuh,false,0.0,1.0,0.0,0.0,0.0
wfarr,false,0.031413612565445025,0.0,0.4712041884816754,0.18848167539267016,0.3089005235602094
jbarnette,false,0.0,0.4,0.0,0.6,0.0
tombh,false,0.0,1.0,0.0,0.0,0.0
bkeepers,false,1.0,0.0,0.0,0.0,0.0
him2him2,false,0.0,0.0,1.0,0.0,0.0
aqchin,false,0.0,0.0,0.0,0.0,1.0
PaulAik,false,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333
edgard,false,0.0,1.0,0.0,0.0,0.0
IanLee1521,false,0.0,0.0,0.0,0.0,1.0
pbiggar,false,1.0,0.0,0.0,0.0,0.0
andreicristianpetcu,false,0.0,0.0,0.0,1.0,0.0
nathansobo,false,0.11936694669910705,0.09746536680519115,0.22656127888040542,0.3226550731703101,0.2331990423748962
avdv,false,0.0,0.0,1.0,0.0,0.0
zigal,false,1.0,0.0,0.0,0.0,0.0
phord,false,0.5,0.0,0.0,0.0,0.5
strugee,false,0.0,1.0,0.0,0.0,0.0
joseramonc,false,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
